accession,country,location,description,scientific_name,bio_material,culture_collection,specimen_voucher,institution_codeA,collection_codeA,material_id,institution_codeB,collection_codeB,specimen_id,sample_accession,study_accession
KY211664,United Kingdom:England,51.31 N 1.34 E,"Onyxacalles gibraltarensis voucher ZFMF-TIS-25899 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Onyxacalles gibraltarensis,ZFMK-DNA-FC19438832,,ZFMF-TIS-25899,,,ZFMK-DNA-FC19438832,,,ZFMF-TIS-25899,,
KY211665,United Kingdom:England,51.31 N 1.35 E,"Onyxacalles gibraltarensis voucher ZFMF-TIS-25900 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Onyxacalles gibraltarensis,ZFMK-DNA-FC19438824,,ZFMF-TIS-25900,,,ZFMK-DNA-FC19438824,,,ZFMF-TIS-25900,,
KY327373,Bangladesh:Dhaleshwari River,24.0 N 90.22 E,"Trichopsis vittata voucher NRM:69396 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Trichopsis vittata,NRM:t11675,,NRM:69396,NRM,,t11675,NRM,,69396,,
KY327374,Bangladesh:Dhaleshwari River,24.0 N 90.22 E,"Trichopsis vittata voucher NRM:69461 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Trichopsis vittata,NRM:t11700,,NRM:69461,NRM,,t11700,NRM,,69461,,
KY349109,Bangladesh:Turag River,23.9 N 90.38 E,"Trichopsis vittata voucher NRM:69220 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Trichopsis vittata,NRM:t11587,,NRM:69220,NRM,,t11587,NRM,,69220,,
KY352042,Iran,,"Trichomonascus sp. strain IBRC 30239 voucher ADH 129-1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Trichomonascus sp.,Yeast,,ADH 129-1,,,Yeast,,,ADH 129-1,,
KY587529,Pakistan,26.06 N 68.13 E,"Eriovixia excelsa voucher PUZ-IMP-1129 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Eriovixia excelsa,ZFMK-DNA-FC19224938,,PUZ-IMP-1129,,,ZFMK-DNA-FC19224938,,,PUZ-IMP-1129,,
KY587530,Pakistan,26.06 N 68.13 E,"Eriovixia excelsa voucher ZFMK-TIS-30019 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Eriovixia excelsa,ZFMK-DNA-FC19224930,,ZFMK-TIS-30019,,,ZFMK-DNA-FC19224930,,,ZFMK-TIS-30019,,
KY587531,Pakistan,31.5 N 74.3 E,"Bianor maculatus voucher ZFMK-TIS-29511 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Bianor maculatus,ZFMK-DNA-FC19438828,,ZFMK-TIS-29511,,,ZFMK-DNA-FC19438828,,,ZFMK-TIS-29511,,
KY587532,Pakistan,25.42 N 68.27 E,"Bianor maculatus voucher PUZ-IMP-1030 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Bianor maculatus,ZFMK-DNA-FC19438749,,PUZ-IMP-1030,,,ZFMK-DNA-FC19438749,,,PUZ-IMP-1030,,
KY587533,Pakistan,26.06 N 68.13 E,"Carrhotus tristis voucher PUZ-IMP-1051 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Carrhotus tristis,ZFMK-DNA-FC19438799,,PUZ-IMP-1051,,,ZFMK-DNA-FC19438799,,,PUZ-IMP-1051,,
KY587534,Pakistan,26.06 N 68.13 E,"Carrhotus tristis voucher PUZ-IMP-1052 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Carrhotus tristis,ZFMK-DNA-FC19438807,,PUZ-IMP-1052,,,ZFMK-DNA-FC19438807,,,PUZ-IMP-1052,,
KY587535,Pakistan,31.5 N 74.3 E,"Harmochirus brachiatus voucher ZFMK-TIS-29504 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Harmochirus brachiatus,ZFMK-DNA-FC19438826,,ZFMK-TIS-29504,,,ZFMK-DNA-FC19438826,,,ZFMK-TIS-29504,,
KY587536,Pakistan,31.5 N 74.3 E,"Harmochirus brachiatus voucher ZFMK-TIS-29505 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Harmochirus brachiatus,ZFMK-DNA-FC19438834,,ZFMK-TIS-29505,,,ZFMK-DNA-FC19438834,,,ZFMK-TIS-29505,,
KY587537,Pakistan,32.47 N 72.42 E,"Harmochirus brachiatus voucher PUZ-IMP-1013 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Harmochirus brachiatus,ZFMK-DNA-FC19438747,,PUZ-IMP-1013,,,ZFMK-DNA-FC19438747,,,PUZ-IMP-1013,,
KY587538,Pakistan,31.5 N 74.3 E,"Harmochirus brachiatus voucher PUZ-IMP-1014 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Harmochirus brachiatus,ZFMK-DNA-FC19438755,,PUZ-IMP-1014,,,ZFMK-DNA-FC19438755,,,PUZ-IMP-1014,,
KY587542,Pakistan,31.5 N 74.3 E,"Langona bristowei voucher PUZ-IMP-1042 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Langona bristowei,ZFMK-DNA-FC19438806,,PUZ-IMP-1042,,,ZFMK-DNA-FC19438806,,,PUZ-IMP-1042,,
KY587543,Pakistan,31.5 N 74.3 E,"Langona bristowei voucher PUZ-IMP-1043 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Langona bristowei,ZFMK-DNA-FC19438814,,PUZ-IMP-1043,,,ZFMK-DNA-FC19438814,,,PUZ-IMP-1043,,
KY587544,Pakistan,31.5 N 74.3 E,"Langona bristowei voucher PUZ-IMP-1044 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Langona bristowei,ZFMK-DNA-FC19438822,,PUZ-IMP-1044,,,ZFMK-DNA-FC19438822,,,PUZ-IMP-1044,,
KY587545,Pakistan,26.06 N 68.13 E,"Langona alfensis voucher PUZ-IMP-1045 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Langona alfensis,ZFMK-DNA-FC19438830,,PUZ-IMP-1045,,,ZFMK-DNA-FC19438830,,,PUZ-IMP-1045,,
KY587546,Pakistan,31.5 N 74.3 E,"Lycosa nigricans voucher PUZ-IMP-1123 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Lycosa nigricans,ZFMK-DNA-FC19224907,,PUZ-IMP-1123,,,ZFMK-DNA-FC19224907,,,PUZ-IMP-1123,,
KY587547,Pakistan,31.5 N 74.3 E,"Lycosa terrestris voucher PUZ-IMP-1124 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Lycosa terrestris,ZFMK-DNA-FC19224994,,PUZ-IMP-1124,,,ZFMK-DNA-FC19224994,,,PUZ-IMP-1124,,
KY587548,Pakistan,31.5 N 74.3 E,"Pardosa birmanica voucher PUZ-IMP-1125 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Pardosa birmanica,ZFMK-DNA-FC19224986,,PUZ-IMP-1125,,,ZFMK-DNA-FC19224986,,,PUZ-IMP-1125,,
KY587549,Pakistan,31.5 N 74.3 E,"Marpissa tigrina voucher PUZ-IMP-1011 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Marpissa tigrina,ZFMK-DNA-FC19438810,,PUZ-IMP-1011,,,ZFMK-DNA-FC19438810,,,PUZ-IMP-1011,,
KY587551,Pakistan,32.47 N 72.42 E,"Menemerus bivittatus voucher ZFMK-TIS-29509 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Menemerus bivittatus,ZFMK-DNA-FC19438780,,ZFMK-TIS-29509,,,ZFMK-DNA-FC19438780,,,ZFMK-TIS-29509,,
KY587552,Pakistan,31.5 N 74.3 E,"Menemerus bivittatus voucher PUZ-IMP-1027 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Menemerus bivittatus,ZFMK-DNA-FC19438796,,PUZ-IMP-1027,,,ZFMK-DNA-FC19438796,,,PUZ-IMP-1027,,
KY587553,Pakistan,31.5 N 74.3 E,"Menemerus marginatus voucher PUZ-IMP-1028 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Menemerus marginatus,ZFMK-DNA-FC19438804,,PUZ-IMP-1028,,,ZFMK-DNA-FC19438804,,,PUZ-IMP-1028,,
KY587554,Pakistan,31.5 N 74.3 E,"Menemerus marginatus voucher PUZ-IMP-1029 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Menemerus marginatus,ZFMK-DNA-FC19438820,,PUZ-IMP-1029,,,ZFMK-DNA-FC19438820,,,PUZ-IMP-1029,,
KY587555,Pakistan,31.5 N 74.3 E,"Mogrus sp. n. JJA-2017 voucher PUZ-IMP-1057 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Mogrus sp. n. JJA-2017,ZFMK-DNA-FC19438776,,PUZ-IMP-1057,,,ZFMK-DNA-FC19438776,,,PUZ-IMP-1057,,
KY587556,Pakistan,31.5 N 74.3 E,"Mogrus sp. n. JJA-2017 voucher PUZ-IMP-1058 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Mogrus sp. n. JJA-2017,ZFMK-DNA-FC19438784,,PUZ-IMP-1058,,,ZFMK-DNA-FC19438784,,,PUZ-IMP-1058,,
KY587557,Pakistan,31.5 N 74.3 E,"Mogrus sp. n. JJA-2017 voucher PUZ-IMP-1059 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Mogrus sp. n. JJA-2017,ZFMK-DNA-FC19438800,,PUZ-IMP-1059,,,ZFMK-DNA-FC19438800,,,PUZ-IMP-1059,,
KY587558,Pakistan,29.32 N 71.9 E,"Myrmarachne melanocephala voucher PUZ-IMP-1070 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Myrmarachne melanocephala,ZFMK-DNA-FC19224999,,PUZ-IMP-1070,,,ZFMK-DNA-FC19224999,,,PUZ-IMP-1070,,
KY587559,Pakistan,31.5 N 74.3 E,"Myrmarachne melanotarsa voucher ZFMK-TIS-30012 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Myrmarachne melanotarsa,ZFMK-DNA-FC19224975,,ZFMK-TIS-30012,,,ZFMK-DNA-FC19224975,,,ZFMK-TIS-30012,,
KY587560,Pakistan,26.06 N 68.13 E,"Myrmarachne tristis voucher PUZ-IMP-1073 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Myrmarachne tristis,ZFMK-DNA-FC19224959,,PUZ-IMP-1073,,,ZFMK-DNA-FC19224959,,,PUZ-IMP-1073,,
KY587561,Pakistan,29.32 N 71.9 E,"Myrmarachne melanotarsa voucher ZFMK-TIS-30009 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Myrmarachne melanotarsa,ZFMK-DNA-FC19224984,,ZFMK-TIS-30009,,,ZFMK-DNA-FC19224984,,,ZFMK-TIS-30009,,
KY587562,Pakistan,29.32 N 71.9 E,"Myrmarachne melanotarsa voucher PUZ-IMP-1063 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Myrmarachne melanotarsa,ZFMK-DNA-FC19224976,,PUZ-IMP-1063,,,ZFMK-DNA-FC19224976,,,PUZ-IMP-1063,,
KY587563,Pakistan,29.32 N 71.9 E,"Myrmarachne plataleoides voucher ZFMK-TIS-30010 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Myrmaplata plataleoides,ZFMK-DNA-FC19224944,,ZFMK-TIS-30010,,,ZFMK-DNA-FC19224944,,,ZFMK-TIS-30010,,
KY587564,Pakistan,29.32 N 71.9 E,"Myrmarachne melanotarsa voucher PUZ-IMP-1067 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Myrmarachne melanotarsa,ZFMK-DNA-FC19224936,,PUZ-IMP-1067,,,ZFMK-DNA-FC19224936,,,PUZ-IMP-1067,,
KY587566,Pakistan,26.06 N 68.13 E,"Phintella indica voucher PUZ-IMP-1079 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Phintella indica,ZFMK-DNA-FC19224990,,PUZ-IMP-1079,,,ZFMK-DNA-FC19224990,,,PUZ-IMP-1079,,
KY587567,Pakistan,26.06 N 68.13 E,"Phintella alboterminus voucher PUZ-IMP-1080 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Icius alboterminus,ZFMK-DNA-FC19224982,,PUZ-IMP-1080,,,ZFMK-DNA-FC19224982,,,PUZ-IMP-1080,,
KY587568,Pakistan,32.47 N 72.42 E,"Phintella alboterminus voucher ZFMK-TIS-30015 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Icius alboterminus,ZFMK-DNA-FC19224974,,ZFMK-TIS-30015,,,ZFMK-DNA-FC19224974,,,ZFMK-TIS-30015,,
KY587569,Pakistan,31.5 N 74.3 E,"Phintella vittata voucher PUZ-IMP-1005 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Phintella vittata,ZFMK-DNA-FC19438833,,PUZ-IMP-1005,,,ZFMK-DNA-FC19438833,,,PUZ-IMP-1005,,
KY587570,Pakistan,31.5 N 74.3 E,"Phintella vittata voucher PUZ-IMP-1006 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Phintella vittata,ZFMK-DNA-FC19438746,,PUZ-IMP-1006,,,ZFMK-DNA-FC19438746,,,PUZ-IMP-1006,,
KY587571,Pakistan,31.5 N 74.3 E,"Phintella vittata voucher ZFMK-TIS-29501 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Phintella vittata,ZFMK-DNA-FC19438754,,ZFMK-TIS-29501,,,ZFMK-DNA-FC19438754,,,ZFMK-TIS-29501,,
KY587572,Pakistan,31.5 N 74.3 E,"Phintella incerta voucher ZFMK-TIS-30013 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Phintella incerta,ZFMK-DNA-FC19224943,,ZFMK-TIS-30013,,,ZFMK-DNA-FC19224943,,,ZFMK-TIS-30013,,
KY587574,Pakistan,31.5 N 74.3 E,"Langona bristowei voucher PUZ-IMP-1023 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Langona bristowei,ZFMK-DNA-FC19438756,,PUZ-IMP-1023,,,ZFMK-DNA-FC19438756,,,PUZ-IMP-1023,,
KY587575,Pakistan,31.5 N 74.3 E,"Hasarius adansoni voucher PUZ-IMP-1024 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Hasarius adansoni,ZFMK-DNA-FC19438764,,PUZ-IMP-1024,,,ZFMK-DNA-FC19438764,,,PUZ-IMP-1024,,
KY587576,Pakistan,31.5 N 74.3 E,"Langona bristowei voucher PUZ-IMP-1025 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Langona bristowei,ZFMK-DNA-FC19438772,,PUZ-IMP-1025,,,ZFMK-DNA-FC19438772,,,PUZ-IMP-1025,,
KY587577,Pakistan,26.06 N 68.13 E,"Plexippus paykulli voucher PUZ-IMP-1100 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Plexippus paykulli,ZFMK-DNA-FC19224996,,PUZ-IMP-1100,,,ZFMK-DNA-FC19224996,,,PUZ-IMP-1100,,
KY587578,Pakistan,32.47 N 72.42 E,"Plexippus paykulli voucher PUZ-IMP-1101 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Plexippus paykulli,ZFMK-DNA-FC19224988,,PUZ-IMP-1101,,,ZFMK-DNA-FC19224988,,,PUZ-IMP-1101,,
KY587579,Pakistan,26.06 N 68.13 E,"Plexippus paykulli voucher PUZ-IMP-1016 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Plexippus paykulli,ZFMK-DNA-FC19438771,,PUZ-IMP-1016,,,ZFMK-DNA-FC19438771,,,PUZ-IMP-1016,,
KY587580,Pakistan,26.06 N 68.13 E,"Plexippus paykulli voucher PUZ-IMP-1017 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Plexippus paykulli,ZFMK-DNA-FC19438779,,PUZ-IMP-1017,,,ZFMK-DNA-FC19438779,,,PUZ-IMP-1017,,
KY587581,Pakistan,26.06 N 68.13 E,"Plexippus paykulli voucher PUZ-IMP-1018 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Plexippus paykulli,ZFMK-DNA-FC19438787,,PUZ-IMP-1018,,,ZFMK-DNA-FC19438787,,,PUZ-IMP-1018,,
KY587582,Pakistan,26.06 N 68.13 E,"Plexippus paykulli voucher PUZ-IMP-1019 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Plexippus paykulli,ZFMK-DNA-FC19438795,,PUZ-IMP-1019,,,ZFMK-DNA-FC19438795,,,PUZ-IMP-1019,,
KY587583,Pakistan,26.06 N 68.13 E,"Plexippus paykulli voucher PUZ-IMP-1020 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Plexippus paykulli,ZFMK-DNA-FC19438803,,PUZ-IMP-1020,,,ZFMK-DNA-FC19438803,,,PUZ-IMP-1020,,
KY587584,Pakistan,31.63 N 71.06 E,"Plexippus paykulli voucher PUZ-IMP-1133 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Plexippus paykulli,ZFMK-DNA-FC19438819,,PUZ-IMP-1133,,,ZFMK-DNA-FC19438819,,,PUZ-IMP-1133,,
KY587585,Pakistan,28.46 N 71.2 E,"Sitticus sp. JJA-2017 voucher PUZ-IMP-1134 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Sitticus sp. JJA-2017,ZFMK-DNA-FC19438827,,PUZ-IMP-1134,,,ZFMK-DNA-FC19438827,,,PUZ-IMP-1134,,
KY587586,Pakistan,32.47 N 72.42 E,"Plexippoides flavescens voucher PUZ-IMP-1087 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Plexippoides flavescens,ZFMK-DNA-FC19224910,,PUZ-IMP-1087,,,ZFMK-DNA-FC19224910,,,PUZ-IMP-1087,,
KY587588,Pakistan,31.5 N 74.3 E,"Pseudicius admirandus voucher PUZ-IMP-1007 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Pseudicius admirandus,ZFMK-DNA-FC19438762,,PUZ-IMP-1007,,,ZFMK-DNA-FC19438762,,,PUZ-IMP-1007,,
KY587589,Pakistan,31.5 N 74.3 E,"Pseudicius admirandus voucher ZFMK-TIS-29503 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Pseudicius admirandus,ZFMK-DNA-FC19438786,,ZFMK-TIS-29503,,,ZFMK-DNA-FC19438786,,,ZFMK-TIS-29503,,
KY587590,Pakistan,31.34 N 74.28 E,"Pseudicius admirandus voucher PUZ-IMP-1106 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Pseudicius admirandus,ZFMK-DNA-FC19224948,,PUZ-IMP-1106,,,ZFMK-DNA-FC19224948,,,PUZ-IMP-1106,,
KY587591,Pakistan,32.47 N 72.42 E,"Siler sp. JJA-2017 voucher PUZ-IMP-1098 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Siler sp. JJA-2017,ZFMK-DNA-FC19224917,,PUZ-IMP-1098,,,ZFMK-DNA-FC19224917,,,PUZ-IMP-1098,,
KY587592,Pakistan,31.5 N 74.3 E,"Stenaelurillus lesserti voucher PUZ-IMP-1081 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Stenaelurillus lesserti,ZFMK-DNA-FC19224966,,PUZ-IMP-1081,,,ZFMK-DNA-FC19224966,,,PUZ-IMP-1081,,
KY587593,Pakistan,31.5 N 74.3 E,"Stenaelurillus lesserti voucher ZFMK-TIS-29523 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Stenaelurillus lesserti,ZFMK-DNA-FC19438760,,ZFMK-TIS-29523,,,ZFMK-DNA-FC19438760,,,ZFMK-TIS-29523,,
KY587594,Pakistan,31.5 N 74.3 E,"Stenaelurillus lesserti voucher ZFMK-TIS-29524 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Stenaelurillus lesserti,ZFMK-DNA-FC19438768,,ZFMK-TIS-29524,,,ZFMK-DNA-FC19438768,,,ZFMK-TIS-29524,,
KY587595,Pakistan,31.5 N 74.3 E,"Telamonia dimidiata voucher PUZ-IMP-1121 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Telamonia dimidiata,ZFMK-DNA-FC19224923,,PUZ-IMP-1121,,,ZFMK-DNA-FC19224923,,,PUZ-IMP-1121,,
KY587597,Pakistan,31.5 N 74.3 E,"Telamonia dimidiata voucher ZFMK-TIS-29498 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Telamonia dimidiata,ZFMK-DNA-FC19438777,,ZFMK-TIS-29498,,,ZFMK-DNA-FC19438777,,,ZFMK-TIS-29498,,
KY587598,Pakistan,31.5 N 74.3 E,"Telamonia dimidiata voucher ZFMK-TIS-29499 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Telamonia dimidiata,ZFMK-DNA-FC19438785,,ZFMK-TIS-29499,,,ZFMK-DNA-FC19438785,,,ZFMK-TIS-29499,,
KY587599,Pakistan,31.5 N 74.3 E,"Telamonia dimidiata voucher PUZ-IMP-1001 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Telamonia dimidiata,ZFMK-DNA-FC19438793,,PUZ-IMP-1001,,,ZFMK-DNA-FC19438793,,,PUZ-IMP-1001,,
KY587600,Pakistan,31.5 N 74.3 E,"Telamonia dimidiata voucher PUZ-IMP-1002 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Telamonia dimidiata,ZFMK-DNA-FC19438801,,PUZ-IMP-1002,,,ZFMK-DNA-FC19438801,,,PUZ-IMP-1002,,
KY587601,Pakistan,31.5 N 74.3 E,"Telamonia dimidiata voucher PUZ-IMP-1003 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Telamonia dimidiata,ZFMK-DNA-FC19438809,,PUZ-IMP-1003,,,ZFMK-DNA-FC19438809,,,PUZ-IMP-1003,,
KY587602,Pakistan,31.5 N 74.3 E,"Telamonia dimidiata voucher PUZ-IMP-1120 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Telamonia dimidiata,ZFMK-DNA-FC19224931,,PUZ-IMP-1120,,,ZFMK-DNA-FC19224931,,,PUZ-IMP-1120,,
