accession,country,location,description,scientific_name,bio_material,culture_collection,specimen_voucher,institution_codeA,culture_id,institution_codeB,specimen_id,sample_accession,study_accession
KX009647,France,48.34 N 4.29 W,"Scrippsiella trochoidea isolate 55AI52 28S ribosomal RNA gene, partial sequence.",Scrippsiella trochoidea,,RCC:4741,IFR-STR-S4,RCC,4741,,IFR-STR-S4,,
KX009648,France,48.34 N 4.29 W,"Scrippsiella trochoidea isolate 55AI56 28S ribosomal RNA gene, partial sequence.",Scrippsiella trochoidea,,RCC:4742,IFR-STR-S6,RCC,4742,,IFR-STR-S6,,
KX025152,Thailand,,"Fusariella sp. MFLUCC 15-0844 18S ribosomal RNA gene, partial sequence; and internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.",Fusariella sp. MFLUCC 15-0844,,MFLUCC:15-0844,MFLU:15-3268,MFLUCC,15-0844,MFLU,15-3268,,
KX025153,Thailand,,"Fusariella sp. MFLUCC 15-0844 18S ribosomal RNA gene, partial sequence.",Fusariella sp. MFLUCC 15-0844,,MFLUCC:15-0844,MFLU:15-3268,MFLUCC,15-0844,MFLU,15-3268,,
KX025154,Thailand,,"Fusariella sp. MFLUCC 15-0844 28S ribosomal RNA gene, partial sequence.",Fusariella sp. MFLUCC 15-0844,,MFLUCC:15-0844,MFLU:15-3268,MFLUCC,15-0844,MFLU,15-3268,,
KX025155,Thailand,,"Fusariella sp. MFLUCC 15-0844 translation elongation factor 1-alpha (tef1) gene, partial cds.",Fusariella sp. MFLUCC 15-0844,,MFLUCC:15-0844,MFLU:15-3268,MFLUCC,15-0844,MFLU,15-3268,,
KX025156,Thailand,,"Fusariella sp. MFLUCC 15-0844 RNA polymerase II second largest subunit (rpb2) gene, partial cds.",Fusariella sp. MFLUCC 15-0844,,MFLUCC:15-0844,MFLU:15-3268,MFLUCC,15-0844,MFLU,15-3268,,
KX090079,Austria,,"Hypoxylon ferrugineum voucher GJO79301 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Hypoxylon ferrugineum,,CBS:141259,GJO79301,CBS,141259,,GJO79301,,
KX090080,Austria,,"Hypoxylon ferrugineum voucher GJO79301 beta-tubulin gene, partial cds.",Hypoxylon ferrugineum,,CBS:141259,GJO79301,CBS,141259,,GJO79301,,
KX090081,Austria,,"Hypoxylon ferrugineum voucher GJO79301 alpha-actin gene, partial cds.",Hypoxylon ferrugineum,,CBS:141259,GJO79301,CBS,141259,,GJO79301,,
KX762288,Thailand,,"Subsessila turbinata culture MFLUCC:15-0831 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",Subsessila turbinata,,MFLUCC:15-0831,MFLU:15-3271,MFLUCC,15-0831,MFLU,15-3271,,
KX762289,Thailand,,"Subsessila turbinata culture MFLUCC:15-0831 28S large subunit ribosomal RNA gene, partial sequence.",Subsessila turbinata,,MFLUCC:15-0831,MFLU:15-3271,MFLUCC,15-0831,MFLU,15-3271,,
KX762290,Thailand,,"Subsessila turbinata culture MFLUCC:15-0831 18S small subunit ribosomal RNA gene, partial sequence.",Subsessila turbinata,,MFLUCC:15-0831,MFLU:15-3271,MFLUCC,15-0831,MFLU,15-3271,,
KX762291,Thailand,,"Subsessila turbinata culture MFLUCC:15-0831 translation elongation factor 1-alpha (tef1) gene, partial cds.",Subsessila turbinata,,MFLUCC:15-0831,MFLU:15-3271,MFLUCC,15-0831,MFLU,15-3271,,
KY124122,Thailand,,"Memnoniella nilagirica culture MFLUCC:15-0660 calmodulin (cmdA) gene, partial cds.",Memnoniella nilagirica,,MFLUCC:15-0660,MFLU:15-3267,MFLUCC,15-0660,MFLU,15-3267,,
KY124123,Thailand,,"Memnoniella oblongispora culture MFLUCC:15-1074 calmodulin (cmdA) gene, partial cds.",Memnoniella oblongispora,,MFLUCC:15-1074,MFLU:15-3269,MFLUCC,15-1074,MFLU,15-3269,,
KY124124,Thailand,,"Stachybotrys microspora culture MFLUCC:15-0830 calmodulin (cmdA) gene, partial cds.",Stachybotrys microspora,,MFLUCC:15-0830,MFLU:15-3270,MFLUCC,15-0830,MFLU,15-3270,,
KY124126,Thailand,,"Cymostachys garethjonesii culture MFLUCC:16-0028 beta-tubulin (tub2) gene, partial cds.",Cymostachys garethjonesii,,MFLUCC:16-0028,MFLU:15-3272,MFLUCC,16-0028,MFLU,15-3272,,
KY124127,Thailand,,"Memnoniella oblongispora culture MFLUCC:15-1074 beta-tubulin (tub2) gene, partial cds.",Memnoniella oblongispora,,MFLUCC:15-1074,MFLU:15-3269,MFLUCC,15-1074,MFLU,15-3269,,
KY124128,Thailand,,"Stachybotrys microspora culture MFLUCC:15-0830 beta-tubulin (tub2) gene, partial cds.",Stachybotrys microspora,,MFLUCC:15-0830,MFLU:15-3270,MFLUCC,15-0830,MFLU,15-3270,,
KY285000,New Zealand,,"Candida sp. BSW-2017a strain ICMP 22125 18S ribosomal RNA gene, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",[Candida] rongomai-pounamu,,ICMP:22125,PDD:105303,ICMP,22125,PDD,105303,,
KY285004,New Zealand,,"Candida sp. BSW-2017b strain ICMP 22109 18S ribosomal RNA gene, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",[Candida] vespimorsuum,,ICMP:22109,PDD:105304,ICMP,22109,PDD,105304,,
KY285005,New Zealand,,"Rhodotorula sp. BSW-2017c strain ICMP 22106 18S ribosomal RNA gene, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Rhodotorula ngohengohe,,ICMP:22106,PDD:105305,ICMP,22106,PDD,105305,,
KY285006,New Zealand,,"Rhodotorula sp. BSW-2017c strain ICMP 22106 large subunit ribosomal RNA gene, partial sequence.",Rhodotorula ngohengohe,,ICMP:22106,PDD:105305,ICMP,22106,PDD,105305,,
KY285007,New Zealand,,"Candida sp. BSW-2017b strain ICMP 22109 large subunit ribosomal RNA gene, partial sequence.",[Candida] vespimorsuum,,ICMP:22109,PDD:105304,ICMP,22109,PDD,105304,,
KY285010,New Zealand,,"Candida sp. BSW-2017a strain ICMP 22125 large subunit ribosomal RNA gene, partial sequence.",[Candida] rongomai-pounamu,,ICMP:22125,PDD:105303,ICMP,22125,PDD,105303,,
KY485127,"Canada:Ontario, Clarence-Rockland, LaRose Forest",,"Lophodermium sp. JBT-2017a isolate NB-644-1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Lophodermium resinosum,,DAOMC:251482,DAOM:745753,DAOMC,251482,DAOM,745753,,
KY485128,"Canada:Ontario, Clarence-Rockland, LaRose Forest",,"Lophodermium sp. JBT-2017a isolate NB-770-3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Lophodermium resinosum,,DAOMC:251484,DAOM:745754,DAOMC,251484,DAOM,745754,,
KY485129,"Canada:Ontario, Clarence-Rockland, LaRose Forest",,"Lophodermium sp. JBT-2017a isolate NB-770-1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Lophodermium resinosum,,DAOMC:251485,DAOM:745754,DAOMC,251485,DAOM,745754,,
KY485130,"Canada:Ontario, Clarence-Rockland, LaRose Forest",,"Lophodermium sp. JBT-2017a isolate NB-644-1 actin (act) gene, partial cds.",Lophodermium resinosum,,DAOMC:251482,DAOM:745753,DAOMC,251482,DAOM,745753,,
KY485131,"Canada:Ontario, Clarence-Rockland, LaRose Forest",,"Lophodermium sp. JBT-2017a isolate NB-770-3 actin (act) gene, partial cds.",Lophodermium resinosum,,DAOMC:251484,DAOM:745754,DAOMC,251484,DAOM,745754,,
KY485132,"Canada:Ontario, Clarence-Rockland, LaRose Forest",,"Lophodermium sp. JBT-2017a isolate NB-770-1 actin (act) gene, partial cds.",Lophodermium resinosum,,DAOMC:251485,DAOM:745754,DAOMC,251485,DAOM,745754,,
KY485133,"Canada:Ontario, Clarence-Rockland, LaRose Forest",,"Lophodermium sp. JBT-2017a isolate NB-644-1 28S large subunit ribosomal RNA gene, partial sequence.",Lophodermium resinosum,,DAOMC:251482,DAOM:745753,DAOMC,251482,DAOM,745753,,
KY485134,"Canada:Ontario, Clarence-Rockland, LaRose Forest",,"Lophodermium sp. JBT-2017a isolate NB-770-3 28S large subunit ribosomal RNA gene, partial sequence.",Lophodermium resinosum,,DAOMC:251484,DAOM:745754,DAOMC,251484,DAOM,745754,,
KY485135,"Canada:Ontario, Clarence-Rockland, LaRose Forest",,"Lophodermium sp. JBT-2017a isolate NB-770-1 28S large subunit ribosomal RNA gene, partial sequence.",Lophodermium resinosum,,DAOMC:251485,DAOM:745754,DAOMC,251485,DAOM,745754,,
KY646195,Thailand,,"Aschersonia sp. YX-2018 voucher MFLU:16-2922 DNA-dependent RNA polymerase second largest subunit (RPB2) gene, partial cds.",Aschersonia sp. YX-2018,,MFLUCC:17-0057,MFLU:16-2922,MFLUCC,17-0057,MFLU,16-2922,,
KY646200,Thailand,,"Aschersonia sp. YX-2018 voucher MFLU:16-2922 translation elongation factor 1-alpha (EF1-alpha) gene, partial cds.",Aschersonia sp. YX-2018,,MFLUCC:17-0057,MFLU:16-2922,MFLUCC,17-0057,MFLU,16-2922,,
KY815010,Italy,,"Ophiosimulans sp. YX-2017a strain MFLUCC 17-0245 28S ribosomal RNA gene, partial sequence.",Paraophiobolus plantaginis,,MFLUCC:17-0245,MFLU 16-1164,MFLUCC,17-0245,,MFLU 16-1164,,
KY815011,China,,"Jahnula sp. QT-2017 strain MFLUCC 17-0244 28S ribosomal RNA gene, partial sequence.",Jahnula guttulaspora,,MFLUCC:17-0244,MFLU 17-0286,MFLUCC,17-0244,,MFLU 17-0286,,
KY815012,Italy,,"Ophiosimulans sp. YX-2017a strain MFLUCC 17-0245 18S ribosomal RNA gene, partial sequence.",Paraophiobolus plantaginis,,MFLUCC:17-0245,MFLU 16-1164,MFLUCC,17-0245,,MFLU 16-1164,,
KY815013,Italy,,"Prosthemium alni strain MFLUCC 17-0240 28S ribosomal RNA gene, partial sequence.",Prosthemium alni,,MFLUCC:17-0240,MFLU 17-0282,MFLUCC,17-0240,,MFLU 17-0282,,
KY815014,Italy,,"Dothiorella guttulata strain MFLUCC 17-0242 28S ribosomal RNA gene, partial sequence.",Dothiorella guttulata,,MFLUCC:17-0242,MFLU 16-1290,MFLUCC,17-0242,,MFLU 16-1290,,
KY815015,Italy,,"Helminthosporium sp. strain MFLUCC 17-0241 28S ribosomal RNA gene, partial sequence.",Helminthosporium sp.,,MFLUCC:17-0241,MFLU 16-1291,MFLUCC,17-0241,,MFLU 16-1291,,
KY815016,Italy,,"Ditopella aseptatospora strain MFLUCC 17-0243 28S ribosomal RNA gene, partial sequence.",Ditopella aseptatospora,,MFLUCC:17-0243,MFLU 16-1294,MFLUCC,17-0243,,MFLU 16-1294,,
KY815018,Italy,,"Cryptosporella alni-cordatae strain MFLUCC 16-0485 28S ribosomal RNA gene, partial sequence.",Cryptosporella alni-cordatae,,MFLUCC:16-0485,MFLU 16-0812,MFLUCC,16-0485,,MFLU 16-0812,,
KY815019,Italy,,"Prosthemium alni strain MFLUCC 17-0240 translation elongation factor 1-alpha (EF1a) gene, partial cds.",Prosthemium alni,,MFLUCC:17-0240,MFLU 17-0282,MFLUCC,17-0240,,MFLU 17-0282,,
KY815020,Italy,,"Dothiorella guttulata strain MFLUCC 17-0242 translation elongation factor 1-alpha (EF1a) gene, partial cds.",Dothiorella guttulata,,MFLUCC:17-0242,MFLU 16-1290,MFLUCC,17-0242,,MFLU 16-1290,,
KY815021,Italy,,"Helminthosporium sp. strain MFLUCC 17-0241 translation elongation factor 1-alpha (EF1a) gene, partial cds.",Helminthosporium sp.,,MFLUCC:17-0241,MFLU 16-1291,MFLUCC,17-0241,,MFLU 16-1291,,
KY815022,Italy,,"Ditopella aseptatospora strain MFLUCC 17-0243 translation elongation factor 1-alpha (EF1a) gene, partial cds.",Ditopella aseptatospora,,MFLUCC:17-0243,MFLU 16-1294,MFLUCC,17-0243,,MFLU 16-1294,,
KY828436,China,,"Jahnula sp. QT-2017 strain MFLUCC 17-0244 18S ribosomal RNA gene, partial sequence.",Jahnula guttulaspora,,MFLUCC:17-0244,MFLU 17-0286,MFLUCC,17-0244,,MFLU 17-0286,,
KY883769,Italy,,"Ditopella aseptatospora strain MFLUCC 17-0243 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",Ditopella aseptatospora,,MFLUCC:17-0243,MFLU 16-1294,MFLUCC,17-0243,,MFLU 16-1294,,
LC314118,"Japan:Aomori, Lake Ogawara",,"Pseudanabaena cinerea NIES-4065 genes for 16S ribosomal RNA, internal transcribed spacer, 23S ribosomal RNA, 5S ribosonal RNA, partial and complete sequence.",Pseudanabaena cinerea NIES-4065,,NIES:4065,TNS:TNS-AL-58685,NIES,4065,TNS,TNS-AL-58685,,
LC314119,"Japan:Aomori, Lake Ogawara",,"Pseudanabaena cinerea NIES-4065 genes for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, RbcX and RbcS, partial and complete cds.",Pseudanabaena cinerea NIES-4065,,NIES:4065,TNS:TNS-AL-58685,NIES,4065,TNS,TNS-AL-58685,,
LC314145,"Japan:Ibaraki, Lake Kasumigaura",,"Pseudanabaena yagii NIES-4238 genes for 16S ribosomal RNA, internal transcribed spacer, 23S ribosomal RNA, 5S ribosonal RNA, partial and complete sequence.",Pseudanabaena yagii NIES-4238,,NIES:4238,TNS:TNS-AL-61725,NIES,4238,TNS,TNS-AL-61725,,
LC314146,"Japan:Ibaraki, Lake Kasumigaura",,"Pseudanabaena yagii NIES-4238 genes for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, RbcX and RbcS, partial and complete cds.",Pseudanabaena yagii NIES-4238,,NIES:4238,TNS:TNS-AL-61725,NIES,4238,TNS,TNS-AL-61725,,
LS398262,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 1-2018 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP352, specimen voucher PRM:946196",Hermatomyces sp. 1-2018,,CCF:5899,PRM:946196,CCF,5899,PRM,946196,,PRJEB23733
LS398263,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 1-2018 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP353, specimen voucher PMA:116075",Hermatomyces sp. 1-2018,,CCF:5900,PMA:116075,CCF,5900,PMA,116075,,PRJEB23733
LS398264,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 2-2018 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP408, specimen voucher PMA:116076",Hermatomyces sp. 2-2018,,CCF:5904,PMA:116076,CCF,5904,PMA,116076,,PRJEB23733
LS398265,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 3-2018 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP300, specimen voucher PRM:946198",Hermatomyces sp. 3-2018,,CCF:5897,PRM:946198,CCF,5897,PRM,946198,,PRJEB23733
LS398266,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail, close to the waterfall",,"Hermatomyces sp. 3-2018 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP351, specimen voucher PMA:116077",Hermatomyces sp. 3-2018,,CCF:5898,PMA:116077,CCF,5898,PMA,116077,,PRJEB23733
LS398267,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 4-2018 genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP191, specimen voucher PRM:946199",Hermatomyces sp. 4-2018,,CCF:5893,PRM:946199,CCF,5893,PRM,946199,,PRJEB23733
LS398268,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 4-2018 genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP409, specimen voucher PMA:116078",Hermatomyces sp. 4-2018,,CCF:5905,PMA:116078,CCF,5905,PMA,116078,,PRJEB23733
LS398269,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 5-2018 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP414, specimen voucher PRC:4098",Hermatomyces sp. 5-2018,,CCF:5910,PRC:4098,CCF,5910,PRC,4098,,PRJEB23733
LS398270,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sp. 5-2018 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP320, specimen voucher PRC:4102",Hermatomyces sp. 5-2018,,CCF:5895,PRC:4102,CCF,5895,PRC,4102,,PRJEB23733
LS398271,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sp. 5-2018 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP326, specimen voucher PRC:4103",Hermatomyces sp. 5-2018,,CCF:5896,PRC:4103,CCF,5896,PRC,4103,,PRJEB23733
LS398272,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 5-2018 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP411, specimen voucher PRM:946200",Hermatomyces sp. 5-2018,,CCF:5907,PRM:946200,CCF,5907,PRM,946200,,PRJEB23733
LS398273,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 5-2018 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP412, specimen voucher PMA116079",Hermatomyces sp. 5-2018,,CCF:5908,PMA116079,CCF,5908,,PMA116079,,PRJEB23733
LS398274,"Panama:Bocas del Toro province,  along the road between Almirante and Rambala",,"Hermatomyces sp. 5-2018 genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, strain KZP470, specimen voucher UCH",Hermatomyces sp. 5-2018,,KZP:470,UCH,KZP,470,,UCH,,PRJEB23733
LS398275,"Panama:Bocas del Toro province,  Changuinola, old railway bridge",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, strain KZP455, specimen voucher PRC:4116",Hermatomyces sphaericus,,KZP:455,PRC:4116,KZP,455,PRC,4116,,PRJEB23733
LS398276,"Panama:Bocas del Toro province,  along the road between Almirante and Rambala",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP469, specimen voucher PRC:4117",Hermatomyces sphaericus,,KZP:469,PRC:4117,KZP,469,PRC,4117,,PRJEB23733
LS398277,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP241, specimen voucher PRC:4100",Hermatomyces sphaericus,,CCF:5894,PRC:4100,CCF,5894,PRC,4100,,PRJEB23733
LS398278,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, strain KZP375, specimen voucher PRC:4104",Hermatomyces sphaericus,,CCF:5901,PRC:4104,CCF,5901,PRC,4104,,PRJEB23733
LS398279,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP376, specimen voucher PRC:4106",Hermatomyces sphaericus,,CCF:5902,PRC:4106,CCF,5902,PRC,4106,,PRJEB23733
LS398280,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, strain KZP410, specimen voucher PMA:116085",Hermatomyces sphaericus,,CCF:5906,PMA:116085,CCF,5906,PMA,116085,,PRJEB23733
